task_id,train_count,predicted_count,exact_count,error_count,total_score,tried_any,tried_all,fully_solved,partially_solved,tried_but_not_fully_exact
0934a4d8,4,4,0,0,1,True,True,False,False,True
135a2760,2,2,0,0,6,True,True,False,False,True
136b0064,3,3,3,0,30000,True,True,True,False,False
13e47133,3,3,0,0,4,True,True,False,False,True
142ca369,3,3,0,0,525,True,True,False,False,True
16b78196,2,2,0,0,997,True,True,False,False,True
16de56c4,3,3,0,0,126,True,True,False,False,True
1818057f,3,3,0,0,5,True,True,False,False,True
195c6913,3,3,0,0,162,True,True,False,False,True
1ae2feb7,3,3,0,0,158,True,True,False,False,True
20270e3b,4,3,0,0,2,True,False,False,False,True
20a9e565,3,3,0,0,14,True,True,False,False,True
21897d95,4,4,0,0,16,True,True,False,False,True
221dfab4,2,2,0,0,21,True,True,False,False,True
247ef758,3,3,0,0,124,True,True,False,False,True
269e22fb,5,4,0,0,11,True,False,False,False,True
271d71e2,3,2,0,0,37,True,False,False,False,True
28a6681f,3,3,0,0,35,True,True,False,False,True
291dc1e1,4,3,0,0,0,True,False,False,False,True
2b83f449,2,2,0,0,59,True,True,False,False,True
2ba387bc,4,4,0,0,74,True,True,False,False,True
2c181942,3,3,0,0,0,True,True,False,False,True
2d0172a1,4,4,0,0,8,True,True,False,False,True
31f7f899,3,2,0,0,2,True,False,False,False,True
332f06d7,4,4,0,0,18,True,True,False,False,True
35ab12c3,3,3,0,0,391,True,True,False,False,True
36a08778,6,5,0,0,7,True,False,False,False,True
38007db0,2,2,0,0,8,True,True,False,False,True
3a25b0d8,2,2,0,0,5,True,True,False,False,True
3dc255db,3,3,0,0,75,True,True,False,False,True
3e6067c3,3,3,0,0,11,True,True,False,False,True
409aa875,3,3,0,0,10,True,True,False,False,True
446ef5d2,2,2,0,0,7,True,True,False,False,True
45a5af55,2,2,0,0,2,True,True,False,False,True
4a21e3da,3,3,0,0,22,True,True,False,False,True
4c3d4a41,2,2,0,0,149,True,True,False,False,True
